config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
92bfaaea8b8b,1.0,0.05,1.0,1e-10,1.0569481236825007e-10,1.8202183656894282e-10,1.2783351046373662e-11,1.0365630271064332e-11,5
28ab2bffee5c,1.0,0.1,0.5,1e-10,1.556650960203516e-11,6.434529145230474e-12,1.3526932733392272e-11,5.102275179765467e-12,5
7abf50ed0613,1.0,0.1,0.6,1e-10,9.100833704013237e-12,3.6235078662339952e-12,8.219186821175705e-12,3.0810557244142137e-12,5
fdf1c43a4fc3,1.0,0.1,0.7,1e-10,6.578333528597079e-12,2.4703000608433007e-12,5.84144234098594e-12,2.3209958156747744e-12,5
2d6414c08afe,1.0,0.1,0.8,1e-10,1.0926774340794996e-11,1.0160497615242766e-11,4.957594941740406e-12,2.0483155720377816e-12,5
96af7170b8b0,1.0,0.1,0.9,1e-10,8.721696507463216e-12,8.282797685832251e-12,3.981065000860914e-12,1.4023821177917366e-12,5
dc4c45de4adf,1.0,0.1,1.0,1e-10,6.891145066418937e-10,1.324047718606979e-09,1.516233321710709e-11,2.2476238782602178e-11,5
3810619288b7,1.0,0.15,0.5,1e-10,8.557339830695541e-12,2.8467964602782053e-12,7.781656982541308e-12,3.010770422817222e-12,5
7cac7de131c3,1.0,0.15,0.6,1e-10,5.038813940354677e-12,1.6856662102978871e-12,4.694278743661209e-12,1.7426298191945857e-12,5
dceacae1b13c,1.0,0.15,0.7,1e-10,4.839974614974857e-12,2.3317473391999795e-12,3.654155954778259e-12,1.5422590163372801e-12,5
74f5322906a7,1.0,0.15,0.8,1e-10,1.1811528691134048e-11,1.7080180589368498e-11,2.9408872273671825e-12,1.3628737808543722e-12,5
aa90423e4863,1.0,0.15,0.9,1e-10,4.8145551071639276e-11,9.088661768632053e-11,2.4021199669715815e-12,1.0781765597102996e-12,5
6f35fc510607,1.0,0.15,1.0,1e-10,7.12825008044006e-10,6.485188165055134e-10,1.8446833066097876e-11,2.975979133291265e-11,5
30b7fd6f1fe3,1.0,0.2,0.5,1e-10,5.993968314734783e-12,1.6262964722611505e-12,5.4019387382927294e-12,1.840339001742737e-12,5
b91874646580,1.0,0.2,0.6,1e-10,3.708747501605447e-12,1.0542129864741819e-12,3.3967736069302956e-12,1.2702889259239109e-12,5
bc1688d5c650,1.0,0.2,0.7,1e-10,3.297454214423429e-12,1.476523560817771e-12,2.4820620360404333e-12,9.257042001523367e-13,5
e02c3daaea07,1.0,0.2,0.8,1e-10,4.006264116483972e-12,3.891736082415067e-12,2.0926131632012465e-12,5.963876547575658e-13,5
4d2160951482,1.0,0.2,0.9,1e-10,1.2576644428139122e-10,2.481185383844666e-10,1.8870374331094636e-12,6.94984399604108e-13,5
67e56b279b44,1.0,0.2,1.0,1e-10,1.1933874758298805e-09,1.600324038674155e-09,5.865478986543215e-11,9.348806767087868e-11,5
139f2a03ac16,1.0,0.3,0.5,1e-10,4.5359582404393925e-12,1.3752935897536057e-12,4.075463268594194e-12,1.6100264876340751e-12,5
7d231a730c0b,1.0,0.3,0.6,1e-10,2.8178415602722424e-12,1.013991261503054e-12,2.773045716044716e-12,1.3576431397959614e-12,5
52799148816a,1.0,0.3,0.7,1e-10,1.9134851088981735e-12,4.953526125287614e-13,1.8825497423084653e-12,8.645756473808772e-13,5
7d313d409da0,1.0,0.3,0.8,1e-10,2.5506437914339594e-12,2.413240356466668e-12,1.3464637026029894e-12,3.878368344050288e-13,5
9143fa7774c8,1.0,0.3,0.9,1e-10,7.780506674519482e-11,1.53411213177294e-10,2.3372316600383645e-12,2.444448848147102e-12,5
6c14593336a9,1.0,0.3,1.0,1e-10,1.8247369944836003e-08,3.633823766225364e-08,2.189528675598102e-10,4.30902009038308e-10,5
4df7ca5b3a5c,1.0,0.4,0.5,1e-10,4.0630930952943985e-12,1.6063785296708335e-12,3.452356209304018e-12,1.3399170395693453e-12,5
8a01e3c2af7d,1.0,0.4,0.6,1e-10,2.5780130999651845e-12,1.1321323593094199e-12,2.0803892472273626e-12,7.158063931045688e-13,5
5a1306e243a3,1.0,0.4,0.7,1e-10,1.9345005931860103e-12,9.480836420052214e-13,1.541444724192404e-12,5.692159317849402e-13,5
f9fb2fa2e9af,1.0,0.4,0.8,1e-10,1.535515510120118e-12,8.226968274824292e-13,1.2418872451953243e-12,5.254395373709474e-13,5
4e018c35c4e2,1.0,0.4,0.9,1e-10,1.2239812533429577e-12,6.770479994924741e-13,1.0062235658626814e-12,4.676167726652658e-13,5
de029cf2303a,1.0,0.4,1.0,1e-10,9.033426420894502e-12,1.5146903878130288e-11,5.703311108280748e-12,9.580787988311667e-12,5
af3244f452ab,1.1,0.05,0.5,1e-10,3.065643338958735e-09,4.590431266499883e-09,2.9545283471922477e-10,3.6297080213157846e-10,5
dbe2e4b383cc,1.1,0.05,0.6,1e-10,1.737550717168872e-09,1.698720637171582e-09,4.020123121484101e-10,5.150962442309246e-10,5
3ea215ff899d,1.1,0.05,0.7,1e-10,6.0846780721235554e-09,8.531586159613144e-09,5.582152565625319e-09,1.0946347229286176e-08,5
4c9884e52c0b,1.1,0.05,0.8,1e-10,4.729500352094943e-09,5.128953021917872e-09,1.0353895537368717e-09,1.9380875368862768e-09,5
