task,task_global_rank,design_name,reservoir_type,config_id,spectral_radius,input_scaling,leak_rate,task_val_metric,task_test_metric,global_aggregate_rank,aggregate_rank_within_design,rank_narma10_within_design,rank_mg_within_design,rank_mc_within_design,global_rank_narma10,global_rank_mg,global_rank_mc,n_seeds,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std
narma10,49,region_selection_multitask_v1,random_sparse,a86d99ada30e,1.0,1.5,0.5,0.2347827341923067,0.24111502862162584,51.333333333333336,51.333333333333336,49,24,81,49,24,81,7,0.2347827341923067,0.0336283977095483,0.24111502862162584,0.02501279158483566,0.02786025511941061,0.0050354874396530535,0.025072622609013016,0.0041156844098387746,7.651168881146831,0.34626659773481744
narma10,50,region_selection_multitask_v1,random_sparse,3a5fb58e8666,1.2,1.5,0.9,0.2351034755844872,0.22505664386015295,49.0,49.0,50,31,66,50,31,66,7,0.2351034755844872,0.0698888538599036,0.22505664386015295,0.044047667605036936,0.05274261217480409,0.006572214525110956,0.05100626430007414,0.008284347104131206,9.105876905980908,0.5004580234372846
narma10,51,region_selection_multitask_v1,random_sparse,dc7bdefae761,1.2,1.5,0.5,0.23665318566215884,0.24432881740803242,48.666666666666664,48.666666666666664,51,18,77,51,18,77,7,0.23665318566215884,0.026709308628149755,0.24432881740803242,0.03023333924879559,0.022834943401464827,0.0050350769533172735,0.021312788658836818,0.005981978140112431,8.228258118169553,0.4590344162933254
narma10,52,region_selection_multitask_v1,random_sparse,f0aa51d7df52,0.8,1.5,0.5,0.23755765281843683,0.246297890251236,54.333333333333336,54.333333333333336,52,26,85,52,26,85,7,0.23755765281843683,0.03120657967127588,0.246297890251236,0.023361834313336712,0.03608008034207893,0.004903083300169289,0.03416692910658142,0.0056540535915650105,7.034221659565439,0.2751969265777499
narma10,53,region_selection_multitask_v1,random_sparse,aa089a568cc3,1.2,0.4,0.5,0.2456762756306389,0.2518830898428216,39.0,39.0,53,19,45,53,19,45,7,0.2456762756306389,0.043429627150835697,0.2518830898428216,0.053878220436960104,0.023342167316963987,0.007607861097435773,0.019137810554741317,0.0050825574599561016,11.576242588793377,2.2150487305514406
narma10,54,region_selection_multitask_v1,random_sparse,71bb84fdc255,1.4,1.5,0.5,0.25696785989588317,0.2724578551472627,49.666666666666664,49.666666666666664,54,17,78,54,17,78,7,0.25696785989588317,0.05123409169834156,0.2724578551472627,0.05440636039680866,0.022471541720458277,0.0052385912467809255,0.02077475814880378,0.004490179258919856,8.183086204843487,0.8914173238932959
narma10,55,region_selection_multitask_v1,random_sparse,a5e4e40f7ef1,0.8,0.4,0.3,0.26111647093453516,0.2678267919477031,45.333333333333336,45.333333333333336,55,27,54,55,27,54,7,0.26111647093453516,0.033312491887137516,0.2678267919477031,0.030039342067733975,0.037299522697143414,0.009051049469650834,0.0334944874785152,0.006468068692459125,10.411500026360695,0.4278597298452112
narma10,56,region_selection_multitask_v1,random_sparse,27e5f608a622,1.0,0.4,0.3,0.26409861393376044,0.26806513276251615,40.666666666666664,40.666666666666664,56,20,46,56,20,46,7,0.26409861393376044,0.03476678040282176,0.26806513276251615,0.026819772381897804,0.023626217468680877,0.009854655961661924,0.019598838600743514,0.006687122343846645,11.463193807742593,0.7577164963243413
narma10,57,region_selection_multitask_v1,random_sparse,8804cb761518,0.8,0.8,0.3,0.2698155097476614,0.2793708559878015,50.0,50.0,57,21,72,57,21,72,7,0.2698155097476614,0.029211770940666428,0.2793708559878015,0.03382344195250173,0.023783136880428955,0.005566876525171401,0.021438915184174703,0.004772215957214204,8.658591638629101,0.3612016971180596
narma10,58,region_selection_multitask_v1,random_sparse,5ecd678c7a17,1.0,0.8,0.3,0.2709590845650665,0.2782545384124403,41.333333333333336,41.333333333333336,58,9,57,58,9,57,7,0.2709590845650665,0.033318347659367774,0.2782545384124403,0.030984835487958703,0.015435473685866065,0.0032219676133338586,0.013079108781460161,0.002504629548996898,9.530873077437132,0.5822220159397794
