config_id,spectral_radius,input_scaling,leak_rate,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std,rank_narma10,rank_mg,rank_mc,aggregate_rank,n_seeds
ce0331293b2e,0.9,0.4,0.7,0.1648475317268884,0.022649986974884764,0.1475192868931464,0.0067774806454655445,1.7336195491039455e-12,3.736327005636081e-13,1.713412452224179e-12,4.962671507912361e-13,13.620696621811826,0.2640215682612578,108,13,146,89.0,5
de029cf2303a,1.0,0.4,1.0,0.16640672300760992,0.0322794344907262,0.13753545362545477,0.031862550945261484,9.033426420894502e-12,1.5146903878130288e-11,5.703311108280748e-12,9.580787988311667e-12,18.87671685158811,1.0912765537135085,113,101,53,89.0,5
6f35fc510607,1.0,0.15,1.0,0.1533338398669581,0.03206642043888709,0.12800050206383856,0.025014101605173908,7.12825008044006e-10,6.485188165055134e-10,1.8446833066097876e-11,2.975979133291265e-11,26.49804335081304,0.7886042689393116,81,181,7,89.66666666666667,5
2e8562f7a417,0.8,0.15,0.7,0.1469886559667925,0.022978142811983272,0.1284228437839839,0.00835618208132215,7.2612098868488896e-12,1.6579708737013983e-12,6.954589796203315e-12,1.7674911903942998e-12,15.258720817666111,0.29106327983639185,69,90,112,90.33333333333333,5
a48d03fa5eb5,0.8,0.05,0.8,0.145718662907951,0.0311806012215767,0.1270157567138179,0.010788663233699489,2.0584457574019252e-11,2.1891089010536588e-12,1.9841681300150392e-11,1.769633499821268e-12,17.7622317360193,0.6859192316049042,67,141,64,90.66666666666667,5
bd5c97f318a4,0.8,0.2,0.7,0.15332245253625343,0.02329191218494706,0.13390682540384474,0.00756941327881621,5.271238215014075e-12,1.1367416926292087e-12,4.89642611147206e-12,1.3932906599438604e-12,14.70119262598798,0.16812505100283134,80,70,122,90.66666666666667,5
4c9884e52c0b,1.1,0.05,0.8,0.14478573036156164,0.028990843035038134,0.13029143487056055,0.039625751588616066,4.729500352094943e-09,5.128953021917872e-09,1.0353895537368717e-09,1.9380875368862768e-09,22.771881519866856,3.957918742772473,64,192,20,92.0,5
1aa27eda48ff,0.7,0.15,0.8,0.13606720597544242,0.029069449790943714,0.11232639501348438,0.008146095930227821,8.20771620334176e-12,1.1068962574853501e-12,7.508498375731226e-12,1.1719611938175433e-12,14.276236806113738,0.2672056874928427,52,96,133,93.66666666666667,5
67e56b279b44,1.0,0.2,1.0,0.15517219150979722,0.03183844319383429,0.12768794640572007,0.02504667758045443,1.1933874758298805e-09,1.600324038674155e-09,5.865478986543215e-11,9.348806767087868e-11,24.538720611129634,0.9463373909983002,87,182,13,94.0,5
26e138b087c3,0.7,0.1,0.9,0.15030486681894686,0.03661219317580462,0.12794768552549055,0.014526651088798966,1.2382898998235646e-11,2.6570801977504528e-12,1.1467734621233325e-11,2.4011603154672447e-12,16.326637443300715,0.4018318240532722,75,120,89,94.66666666666667,5
3d53c19c2941,0.8,0.1,0.7,0.144806031471443,0.02155429049685267,0.12752103079139926,0.010067550677929542,1.221632253540482e-11,2.9371751577438987e-12,1.1784466090619294e-11,3.100810214152744e-12,15.78207552540853,0.44665942233586986,65,119,100,94.66666666666667,5
5a90ec51096c,1.0,0.05,0.6,0.16150506674428627,0.01866858625611448,0.15455802931513477,0.01187158698297603,2.4291240889956014e-11,8.598845126999974e-12,2.107673336186413e-11,6.897142993225936e-12,19.9792854848181,1.0057295180084393,103,146,37,95.33333333333333,5
1b0a13327b42,0.9,0.15,0.6,0.1686221148213894,0.021215324218645235,0.15828766166227154,0.00827202646711105,6.361651583363711e-12,1.6461923314138222e-12,5.816351055284242e-12,1.6974745532361758e-12,16.16191057731036,0.28694111240830766,116,80,93,96.33333333333333,5
fc87902cb709,1.1,0.05,0.9,0.15217050116304912,0.026339737474989425,0.13603929380845053,0.03685553901432545,3.832994536144111e-08,6.464948560284689e-08,4.597359715617636e-09,8.793087662424994e-09,25.48089147285056,4.405572611571126,78,202,10,96.66666666666667,5
8c9f95aff55f,1.1,0.1,0.8,0.14762411636189812,0.0319468174360717,0.1287399809474067,0.04195530836440208,4.115113475955972e-09,5.350748834060916e-09,1.4781153981914763e-09,2.681485072938236e-09,20.648883102764295,3.2950732401086933,70,190,32,97.33333333333333,5
bf8866ab4036,0.9,0.2,0.6,0.17109579413109202,0.020256235989524172,0.16183999067553517,0.009388407654164894,4.790595989571204e-12,1.3833212169260436e-12,4.528744028821932e-12,1.579085891899483e-12,15.340036686873983,0.2068026569338444,120,62,110,97.33333333333333,5
243378fb693a,0.7,0.05,1.0,0.17413648907644075,0.03487161030616369,0.15135733381695218,0.011328412738309738,1.5086981266141348e-11,4.806319399519204e-12,1.5875573435283652e-11,4.695198395346107e-12,19.67184781041493,0.7878228622914956,129,124,40,97.66666666666667,5
7d231a730c0b,1.0,0.3,0.6,0.17759233715584552,0.018927664306558296,0.1709247683793138,0.012753671780109015,2.8178415602722424e-12,1.013991261503054e-12,2.773045716044716e-12,1.3576431397959614e-12,14.862899313966409,0.5099622993223164,138,35,120,97.66666666666667,5
b7758828505f,1.1,0.1,0.9,0.15240714813699227,0.032124523133575084,0.13080086451680403,0.04061793421990762,2.3430618046771277e-08,2.6503723830349837e-08,9.130780949533882e-09,1.7177803380431428e-08,23.454427664167273,4.033125306264892,79,199,16,98.0,5
